76,465,0,"-","ACICU_00001","soluble cytochrome b562"
506,2974,0,"-","ACICU_00002","Type IIA topoisomerase (DNA gyrase/topo II)"
3027,4109,0,"-","ACICU_00003","Recombinational DNA repair ATPase (RecF pathway)"
4124,5272,0,"-","ACICU_00004","DNA polymerase sliding clamp subunit"
5370,6767,1,"-","ACICU_00005","ATPase"
7384,7572,1,"+","ACICU_00006","putative 50S ribosomal protein L34"
7602,7994,1,"+","ACICU_00007","RNase P protein component"
8005,8325,1,"+","ACICU_00008","uncharacterized conserved protein"
8331,10091,1,"+","ACICU_00009","Preprotein translocase subunit YidC"
10182,11537,2,"+","ACICU_00010","predicted GTPase"
11583,11846,2,"-","ACICU_00011","uncharacterized protein conserved in bacteria"
11904,12890,2,"+","ACICU_00012","Co/Zn/Cd efflux system component"
12986,13684,2,"+","ACICU_00013","Protein-disulfide isomerase"
13738,13989,2,"-","ACICU_00014","predicted membrane protein"
14161,14688,2,"-","ACICU_00015","Hypoxanthine-guanine phosphoribosyltransferase"
14903,16228,2,"-","ACICU_00016","Cytosine deaminase"
16285,17340,3,"-","ACICU_00017","Phenylpropionate dioxygenase"
17631,18791,3,"-","ACICU_00018","Glutathionylspermidine synthase"
19315,19938,3,"+","ACICU_00019","uncharacterized protein conserved in bacteria"
19990,20886,3,"-","ACICU_00020","Membrane protein TerC"
21262,21858,4,"-","ACICU_00021","Membrane-associated phospholipid phosphatase"
21994,23244,4,"+","ACICU_00022","predicted membrane protein"
23314,24687,4,"-","ACICU_00023","UDP-N-acetylmuramate-alanine ligase"
24926,25291,4,"+","ACICU_00024","uncharacterized protein conserved in bacteria"
25475,25987,5,"+","ACICU_00025","Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase"
25997,27118,5,"+","ACICU_00026","Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)"
27806,29098,5,"+","ACICU_00027","Membrane-bound lytic murein transglycosylase B"
29148,29522,5,"-","ACICU_00028","hypothetical protein"
29636,30541,5,"-","ACICU_00029","hypothetical protein"
30881,31528,6,"-","ACICU_00030","hypothetical protein"
31976,33916,6,"-","ACICU_00031","Molecular chaperone"
34070,34624,6,"-","ACICU_00032","Molecular chaperone GrpE (heat shock protein)"
34788,35681,6,"-","ACICU_00033","Transcriptional regulator"
35789,36655,7,"+","ACICU_00034","Zn-dependent hydrolase, including glyoxylase"
37047,37277,7,"+","ACICU_00035","hypothetical protein"
37988,39058,7,"+","ACICU_00036","Esterase/lipase"
39192,39749,7,"+","ACICU_00037","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family"
39960,45491,7,"+",,"rDNA"
45574,45936,9,"+","ACICU_00038","hypothetical protein"
45982,46524,9,"-","ACICU_00039","predicted flavoprotein"
46659,47141,9,"-","ACICU_00040","FKBP-type peptidyl-prolyl cis-trans isomerase 2"
47143,47673,9,"-","ACICU_00041","Lipoprotein signal peptidase"
47666,50503,9,"-","ACICU_00042","Isoleucyl-tRNA synthetase"
50565,51566,10,"-","ACICU_00043","FAD synthase"
51775,52908,10,"+","ACICU_00044","Tellurite resistance protein"
52989,53555,10,"+","ACICU_00045","Nucleoside phosphorylase"
53590,54210,10,"-","ACICU_00046","Transcriptional regulator"
54471,55271,10,"-","ACICU_00047","ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
55285,56082,11,"-","ACICU_00048","ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
56079,57254,11,"-","ACICU_00049","Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase"
57281,58264,11,"-","ACICU_00050","ABC-type nitrate/sulfonate/bicarbonate transport system protein, periplasmic component"
58336,59304,11,"-","ACICU_00051","alkanesulfonate transport protein"
59638,60993,11,"-","ACICU_00052","Acetylglutamate kinase"
61114,61434,12,"-","ACICU_00053","conserved protein"
61657,62067,12,"-","ACICU_00054","hypothetical protein"
62285,63031,12,"-","ACICU_00055","Dehydrogenase with different specificities"
63097,63795,12,"-","ACICU_00056","predicted phosphatase"
63795,64508,12,"-","ACICU_00057","2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1, 4-benzoquinol methylase"
64688,65305,12,"+","ACICU_00058","Thiol-disulfide isomerase and thioredoxin"
65383,66030,13,"-","ACICU_00059","Transcriptional regulator"
66167,66805,13,"-","ACICU_00060","Transcriptional regulator"
66979,68004,13,"+","ACICU_00061","Flavodoxin reductase (ferredoxin-NADPH reductase) family 1"
68029,69177,13,"+","ACICU_00062","Fatty acid desaturase"
69336,70052,13,"+","ACICU_00063","RNase PH"
70341,72509,14,"+","ACICU_00064","Phospholipase C"
72931,73098,14,"+","ACICU_00065","hypothetical protein"
73095,73940,14,"-","ACICU_00066","nicotinate-nucleotide pyrophosphorylase (quinolinate phosphoribosyltransferase)"
74112,74681,14,"+","ACICU_00067","Negative regulator of beta-lactamase expression"
74763,76304,14,"+","ACICU_00068","uncharacterized membrane protein, putative virulence factor"
76350,77045,15,"-","ACICU_00069","FKBP-type peptidyl-prolyl cis-trans isomerase 1"
77095,77817,15,"-","ACICU_00070","FKBP-type peptidyl-prolyl cis-trans isomerase 1"
78010,80196,15,"-","ACICU_00071","ATPase"
80216,80644,16,"-","ACICU_00072","Protein-tyrosine-phosphatase"
80649,81749,16,"-","ACICU_00073","Periplasmic protein"
82105,83379,16,"+","ACICU_00074","UDP-N-acetyl-D-mannosaminuronate dehydrogenase"
83426,84424,16,"+","ACICU_00075","predicted nucleoside-diphosphate sugar epimerase"
84426,85586,16,"+","ACICU_00076","predicted pyridoxal phosphate-dependent enzyme"
85589,86281,17,"+","ACICU_00077","CMP-N-acetylneuraminic acid synthetase"
86285,87382,17,"+","ACICU_00078","Spore coat polysaccharide biosynthesis protein, predicted glycosyltransferase"
87376,87891,17,"+","ACICU_00079","Acetyltransferase, including N-acetylase of ribosomal protein"
87893,88942,17,"+","ACICU_00080","Sialic acid synthase"
88942,90174,17,"+","ACICU_00081","membrane protein"
90177,91619,18,"+","ACICU_00082","hypothetical protein"
91953,92687,18,"+","ACICU_00083","hypothetical protein"
92936,93547,18,"+","ACICU_00084","hypothetical protein"
93576,94376,18,"+","ACICU_00085","hypothetical protein"
94376,95086,18,"+","ACICU_00086","Glycosyltransferase"
95374,95841,19,"+","ACICU_00087","Sugar transferase"
95867,96742,19,"+","ACICU_00088","UDP-glucose pyrophosphorylase"
96858,98120,19,"+","ACICU_00089","predicted UDP-glucose 6-dehydrogenase"
98117,99787,19,"+","ACICU_00090","Glucose-6-phosphate isomerase"
99780,100796,19,"+","ACICU_00091","UDP-glucose 4-epimerase"
100840,102210,20,"-","ACICU_00092","Phosphomannomutase"
102585,104246,20,"+","ACICU_00093","L-lactate permease"
104266,105018,20,"+","ACICU_00094","Transcriptional regulator"
105015,106166,21,"+","ACICU_00095","L-lactate dehydrogenase (FMN-dependent)"
106467,108197,21,"+","ACICU_00096","FAD/FMN-containing dehydrogenase"
108246,109460,21,"-","ACICU_00097","Aspartate/tyrosine/aromatic aminotransferase"
109976,110686,21,"+","ACICU_00098","Transcriptional regulator"
110679,111563,22,"+","ACICU_00099","PEP phosphonomutase"
111630,112787,22,"+","ACICU_00100","Citrate synthase"
112787,115393,22,"+","ACICU_00101","Aconitase A"
115768,116079,23,"+","ACICU_00102","hypothetical protein"
116089,116796,23,"+","ACICU_00103","hypothetical protein"
117052,117990,23,"+","ACICU_00104","hypothetical protein"
118313,118447,23,"+","ACICU_00105","hypothetical protein"
118570,119145,23,"+","ACICU_00106","hypothetical membrane protein"
119580,119819,23,"+","ACICU_00107","hypothetical protein"
120054,120398,24,"-","ACICU_00108","hypothetical protein"
121540,122766,24,"+","ACICU_00109","3-oxoacyl-(acyl-carrier-protein) synthase"
122776,123468,24,"-","ACICU_00110","TPR repeat, SEL1 subfamily protein"
123729,126575,24,"+","ACICU_00111","uncharacterized protein conserved in bacteria"
126578,127459,25,"+","ACICU_00112","hypothetical protein"
127588,128874,25,"+","ACICU_00113","conserved hypothetical protein"
128987,129835,25,"+","ACICU_00114","hypothetical protein"
129884,130585,25,"-","ACICU_00115","Dehydrogenase with different specificities"
131388,132089,26,"+","ACICU_00116","predicted membrane protein"
132201,132866,26,"+","ACICU_00117","pseudouridylate synthase, 23S RNA-specific"
132977,133351,26,"+","ACICU_00118","hypothetical protein"
133380,133760,26,"+","ACICU_00119","putative membrane protein"
133805,135895,26,"-","ACICU_00120","Outer membrane receptor protein, mostly Fe transport"
135971,137116,27,"+","ACICU_00121","predicted membrane protein"
137157,137624,27,"-","ACICU_00122","Transcriptional regulator"
